clock_mhz,t/s,pp,avg_power_w,power/t/s
1200,25.6630761456831,324.518876181298,188.58,7.35
1300,27.4497532267185,346.289456010746,197.82,7.21
1400,29.3312727918655,366.886798745914,206.28,7.03
1500,31.2575057085583,390.648120745783,213.98,6.85
1600,32.9788807205331,411.913023940884,218.02,6.61
1700,34.8013421067981,432.758507638843,225.79,6.49
1800,36.6232861400785,450.13708720383,237.44,6.48
1900,38.2308944163626,471.233346185152,240.96,6.3
2000,39.9378917857262,497.962879130828,246.71,6.18
2100,41.68632176738,507.302075326672,257.76,6.18
2200,43.2116151438735,522.755714670426,267.56,6.19
2300,44.576406456946,549.697666283544,274.62,6.16
2400,46.2041062698141,550.991785213384,280.11,6.06
2500,47.5693625524654,540.691101535235,296.88,6.24
2600,48.5754048152799,575.283719470739,318,6.55
2700,48.938652756083,580.464723575663,331.95,6.78
2800,49.1049011307189,586.270608300171,366.67,7.47
